,256,110677,145668
529,625,111108,146185
576,289,111451,146663
81,144,111678,147165
484,256,112058,147589
36,25,112305,147597
121,225,112606,147903
196,121,112884,148241
100,256,112896,148345
361,256,113070,148376
196,196,113196,148604
289,361,112929,148762
225,9,113514,148967
9,4,113666,149242
100,64,112929,149243
36,100,113820,149200
196,484,113770,149111
625,289,113716,148906
81,121,113512,148397
225,256,113109,147665
324,441,112891,147123
441,361,112642,146583
144,4,112296,145854
4,25,112038,145136
196,256,111687,144461
169,81,111408,143939
64,196,111362,143442
400,196,111140,143220
64,81,110949,142805
225,400,110934,142470
361,81,110705,142375
4,121,110685,142222
400,289,110735,142035
196,169,110552,142072
121,121,110611,142083
144,64,110735,142005
4,64,110824,142056
289,196,110971,142199
169,196,111070,142368
225,289,111263,142100
324,81,111390,142815
9,81,111669,143096
256,256,111801,143291
169,144,111993,143614
100,196,112243,143768
324,169,112319,143833
81,144,112404,144021
289,256,112587,144148
256,169,112743,144277
81,121,112897,144402
196,81,113018,144612
49,100,112726,144800
196,361,113488,145159
529,361,113680,145232
169,144,113770,144844
196,256,113983,145700
196,25,114046,145812
0,25,114126,144844
121,169,114194,145947
169,144,114252,145982
49,100,114175,145892
225,121,114245,145982
36,121,114250,146005
289,289,114256,145952
289,169,114315,146002
169,324,114358,146027
361,81,114322,146014
9,36,114340,146071
121,144,114351,146120
169,100,114344,146091
25,81,114420,146110
256,169,114466,146188
100,225,114344,146193
400,484,114493,146183
441,144,114486,146273
36,144,114552,146313
324,196,114541,146353
144,169,114653,146380
144,196,114628,146454
256,121,114670,146484
25,100,114661,146537
256,196,114712,146573
144,121,114723,146584
121,169,114710,146608
196,64,114887,146640
16,100,114752,146727
289,400,114748,146742
441,289,114908,146731
121,169,114811,146897
256,144,114914,146912
64,121,114979,146861
196,225,114910,146913
225,121,114957,146997
49,121,114979,146913
225,121,114900,146961
64,121,115019,146999
196,289,115016,146906
361,144,114940,146933
16,64,115015,146992
225,289,115024,147005
289,196,115004,146946
100,100,114988,147042
144,49,115063,147067
9,81,115019,147023
289,256,115078,147044
169,196,115035,147085
225,289,115063,147019
256,49,115096,146948
4,81,115079,146913
289,225,115070,146882
169,144,115050,146769
100,121,114983,146720
196,100,115070,146664
81,256,114947,146578
484,441,114926,146528
289,121,114892,146511
49,121,114930,146400
196,64,114888,146452
16,64,114873,146415
196,324,114900,146373
289,100,114867,146345
9,81,114911,146365
256,169,114880,146337
121,144,114888,146336
144,256,114972,146301
361,196,114854,146291
49,169,114825,146278
361,289,114957,146289
196,169,114848,146391
100,144,114905,146380
196,81,114983,146265
9,49,114862,146374
144,144,114893,146394
225,289,115012,146296
196,256,114838,146343
361,121,114958,146379
16,49,114980,146261
169,196,114869,146354
196,169,114939,146327
100,196,114949,146263
256,169,114891,146305
100,144,114934,146358
169,169,114905,146291
256,144,114934,146303
25,81,114952,146376
196,100,114956,146301
36,81,114952,146397
196,361,114951,146383
484,225,114940,146465
64,169,114956,146399
441,400,114976,146415
324,225,114999,146446
144,169,114972,146475
196,64,114968,146375
4,64,115029,146483
196,144,114958,146440
100,144,115025,146477
121,225,115055,146496
400,196,114977,146514
25,81,115067,146465
361,361,115000,146471
196,81,115069,146539
64,144,115023,146463
225,81,114983,146540
16,81,115091,146517
225,289,114963,146520
196,49,115021,146528
4,121,115117,146514
361,225,114974,146564
100,169,115038,146572
289,256,115136,146555
169,49,114991,146584
16,121,115059,146675
324,225,115141,146536
144,144,114970,146616
196,324,115072,146597
361,196,115045,146405
81,196,114925,146425
324,144,114969,146353
64,121,115045,146168
225,324,114820,146195
289,81,114861,146156
4,64,114917,146032
256,289,114807,146207
256,121,114777,146009
64,100,114821,145900
196,121,114762,145817
64,100,114740,145868
225,256,114821,145817
289,169,114785,145736
25,100,114747,145783
256,169,114740,145880
49,121,114744,145769
324,400,114668,145753
289,64,114822,145745
4,121,114789,145750
324,256,114780,145721
144,225,114805,145754
225,196,114789,145756
196,36,114786,145652
1,144,114726,145740
484,361,114730,145702
196,144,114781,145642
81,144,114712,145726
225,64,114723,145582
9,144,114700,145540
400,400,114661,145518
400,324,114662,145555
169,169,114631,145482
169,16,114611,145480
0,49,114752,145411
196,256,114642,145428
196,144,114598,145478
169,361,114694,145416
361,121,114643,145542
36,121,114656,145516
225,225,114773,145420
169,64,114651,145571
9,81,114665,145561
256,121,114786,145484
25,49,114670,145593
169,324,114747,145581
400,225,114761,145511
81,169,114681,145595
225,121,114751,145631
81,121,114718,145543
169,225,114675,145639
256,144,114645,145697
81,225,114722,145634
361,289,114702,145609
256,256,114707,145676
196,225,114721,145672
225,36,114732,145670
1,64,114704,145721
196,144,114777,145791
121,64,114774,145743
49,169,114791,145789
400,256,114860,145820
81,81,114744,145833
144,196,114808,145817
225,121,114757,145883
64,121,114824,145874
289,225,114836,145829
144,144,114884,145906
169,256,114808,145795
256,100,114770,145723
16,100,114675,145664
400,400,114682,145632
289,225,114672,145486
121,144,114644,145481
196,196,114608,145322
144,81,114560,145349
36,121,114607,145286
256,169,114562,145219
64,64,114550,145194
100,121,114604,145217
196,100,114514,145160
16,81,114525,145132
256,169,114499,145120
121,196,114535,145125
289,361,114489,145056
361,169,114494,145104
36,100,114535,145049
256,169,114498,145000
121,256,114508,145014
400,441,114465,145064
324,81,114443,144972
1,25,114527,145025
196,256,114509,144981
289,256,114439,145013
169,196,114421,145022
196,64,114487,144991
36,100,114458,144994
144,81,114478,144925
81,81,114489,144898
49,121,114398,144992
289,169,114401,144935
81,196,114457,144936
400,361,114372,144963
289,169,114407,144976
64,169,114482,144976
361,225,114403,145016
121,169,114419,145053
169,225,114444,144947
196,36,114431,145058
1,100,114481,145064
225,144,114463,145019
100,144,114434,145053
169,196,114491,145059
256,100,114506,145016
16,81,114507,145089
289,361,114446,145109
361,361,114477,145087
289,289,114463,145099
256,64,114389,145068
9,64,114460,145027
121,121,114444,145025
169,225,114459,145062
196,256,114390,145086
225,64,114429,145052
25,225,114417,145029
576,441,114468,145091
169,49,114402,145048
25,144,114442,145014
361,169,114381,145062
36,64,114399,145084
144,225,114413,145084
225,64,114405,145091
16,121,114367,145128
324,225,114399,145141
121,169,114435,145172
225,289,114404,145176
289,64,114418,145088
1,49,114328,145028
196,144,114310,145005
81,169,114285,144924
225,289,114256,144845
289,81,114225,144798
9,100,114209,144757
361,441,114129,144645
400,225,114272,144599
121,169,114117,144682
225,81,114068,144559
25,100,114191,144525
256,256,114052,144610
169,81,114125,144555
64,256,114122,144441
400,196,113980,144558
100,144,114079,144516
225,256,114122,144386
256,81,114012,144525
4,64,114010,144474
169,121,113987,144432
100,169,113991,144525
289,529,113994,144437
576,144,113990,144442
4,49,113978,144404
225,169,113892,144479
144,169,113952,144362
169,225,113956,144369
225,64,113842,144412
9,64,113941,144490
121,100,113905,144374
81,81,113876,144455
81,256,113909,144472
361,196,113892,144504
100,196,113915,144502
361,324,113975,144590
256,121,113903,144561
49,144,113884,144532
289,144,113876,144590
36,121,113886,144580
289,289,113918,144538
256,100,113964,144607
16,100,113898,144553
256,196,113923,144632
169,196,113889,144679
256,289,113833,144631
324,121,113868,144625
16,100,113817,144665
256,169,113878,144635
121,169,113847,144643
256,441,113813,144713
361,49,113844,144644
0,9,113811,144692
169,225,113750,144704
169,100,113825,144695
64,144,113782,144672
256,100,113740,144709
36,121,113850,144644
289,289,113757,144743
289,169,113736,144701
81,169,113848,144677
256,121,113745,144787
49,144,113764,144770
324,441,113803,144632
400,121,113653,144700
9,64,113679,144638
225,196,113656,144483
144,225,113595,144463
225,256,113560,144404
256,100,113547,144276
16,81,113471,144489
256,225,113485,144255
196,196,113454,144057
225,256,113454,144081
289,81,113406,144082
25,121,113433,143996
256,225,113418,143917
225,225,113329,143944
144,169,113339,143908
169,25,113346,143859
0,36,113228,143811
225,324,113265,143804
256,121,113218,143733
49,100,113223,143748
225,100,113273,143758
49,169,113193,143709
361,400,113223,143667
324,81,113181,143773
25,169,113230,143661
400,169,113152,143625
64,64,113193,143701
169,256,113230,143647
289,121,113129,143521
16,81,113090,143568
289,225,113067,143519
169,225,113023,143492
289,324,113030,143485
196,64,113061,143421
49,169,112997,143404
256,225,112956,143401
144,144,113030,143417
100,169,112935,143424
289,144,112873,143360
64,121,113054,143337
289,324,112868,143373
484,324,112898,143353
100,81,112973,143309
100,16,112853,143402
1,64,112935,143448
225,256,112959,143354
225,121,112916,143427
64,256,112936,143470
361,121,112978,143383
36,81,112893,143463
144,225,112954,143454
196,36,112946,143348
9,169,112891,143445
441,324,112834,143402
256,256,112907,143432
225,225,112840,143367
289,100,112817,143396
25,144,112925,143444
324,324,112848,143369
289,225,112868,143408
100,144,112850,143482
196,36,112792,143391
0,36,112772,143328
225,196,112860,143327
169,144,112894,143292
121,225,112775,143179
400,169,112756,143134
36,121,112894,143040
289,289,112638,142878
225,100,112538,142824
49,169,112536,142773
361,196,112526,142597
36,0,112462,142505
0,169,112414,142488
576,400,112389,142490
169,169,112387,142440
225,324,112322,142371
289,81,112338,142364
16,121,112346,142335
324,324,112281,142329
289,196,112335,142325
121,196,112299,142297
225,49,112298,142262
4,64,112287,142235
225,289,112290,142272
225,64,112298,142247
9,64,112244,142201
225,169,112191,142265
121,196,112216,142252
225,324,112219,142156
484,225,112283,142229
36,100,112197,142181
289,256,112223,142092
169,169,112162,142167
169,225,112208,142145
225,100,112140,142053
25,121,112135,142074
324,196,112217,142107
169,121,112106,142046
64,169,112123,142053
289,100,112234,142077
9,81,112065,142121
289,225,112126,142127
169,100,112235,142061
81,169,112049,142201
289,121,112168,142167
25,100,112215,142132
289,289,112105,142194
169,81,112143,142226
64,225,112212,142143
441,225,112140,142184
64,144,112170,142219
256,225,112170,142183
196,36,112158,142256
1,49,112139,142249
225,225,112159,142270
256,324,112185,142226
256,256,112148,142275
256,100,112170,142282
16,81,112179,142320
289,324,112163,142404
361,289,112223,142339
196,225,112214,142392
256,64,112199,142421
