,125843,150284,
484,225,127620,152746
49,324,129138,154584
121,121,130378,156103
16,841,130484,152493
400,121,131053,157842
289,81,131560,158418
49,625,131876,152493
225,49,132044,158878
81,900,132115,158864
361,169,132122,158771
225,0,131968,158742
1,529,132051,158683
289,4,132006,158584
196,961,131898,158450
361,289,131879,158251
256,4,131769,158064
1,576,131715,158018
256,1,131649,157955
121,484,131619,157718
225,441,131590,157595
256,25,131626,157519
4,676,131598,157372
256,4,131431,157085
289,484,131318,156871
256,625,131598,156542
324,36,130950,156070
4,576,130696,155754
225,16,130504,155368
256,196,130336,154901
81,484,130089,154568
225,81,129910,154161
9,676,129768,153803
324,100,129581,153519
289,49,129514,153305
25,576,129442,153027
196,64,129285,152784
49,784,129238,152610
361,256,129091,152300
324,9,128919,152001
16,676,128756,151650
256,1,128542,151311
256,729,128336,150969
100,81,128260,150673
121,16,127985,150363
16,841,127783,149927
324,0,127700,149587
196,576,127377,149227
256,361,127164,148881
144,100,127076,148438
1,625,126711,148224
361,64,126575,147828
484,529,126394,147430
121,324,126080,147211
144,100,125973,146905
4,841,125849,146588
400,64,125586,146391
289,121,125432,146103
49,484,125365,145701
289,16,124999,146340
121,1156,124915,145283
529,121,124726,144850
169,4,124488,146340
16,576,124353,144401
256,36,124177,144102
49,625,123992,143817
225,169,123771,143643
196,1,123692,143451
0,484,123568,143217
289,1,123437,143102
324,961,123371,142887
289,256,123205,142648
225,9,123124,142533
0,529,122980,142342
144,9,122848,142105
225,676,122687,141901
256,400,122625,141661
256,49,122429,141560
0,625,122393,141360
400,49,122304,141232
289,225,122123,141127
49,324,122127,140934
169,49,122006,140857
25,961,122193,140729
576,169,121877,140645
361,169,121848,140620
81,576,122193,140543
225,81,121749,140454
16,841,121713,140444
529,324,121642,140397
361,36,121614,140288
9,441,121572,140282
64,324,121552,140216
0,676,121570,140177
400,400,121489,140152
441,36,121515,140093
100,900,121428,139992
289,36,121287,139880
36,400,121326,139805
144,196,121147,139678
196,9,121056,139579
9,900,121087,139417
529,25,120907,139332
289,441,120839,139279
121,324,120904,139211
169,64,120678,139163
0,625,120606,139054
289,36,120656,138958
324,324,120434,138916
100,529,120394,138843
361,25,120380,138822
1,529,120162,138784
225,81,120134,138758
289,100,120104,138658
25,400,119870,138662
196,49,119829,138605
36,900,119754,138498
441,169,119556,138469
256,9,119490,138311
16,529,119449,138085
169,49,119294,138441
81,841,119537,137841
400,289,119166,137539
256,1,119148,137363
0,625,119065,137210
361,0,119065,136874
256,841,118959,136666
324,361,118856,136513
256,1,118805,136262
49,961,118730,135976
289,0,118689,135903
169,441,118586,135676
196,441,118496,135427
169,121,118459,135277
9,529,118407,135175
324,36,118295,135022
225,169,118285,134844
64,400,118228,134792
196,25,118133,134666
64,961,118118,134515
324,49,118101,134418
196,81,117995,134270
64,576,117973,134110
196,64,117859,134073
64,1156,118025,133922
676,289,117755,133794
225,1,117663,133683
0,529,117621,133627
225,49,117629,133440
64,784,117602,133416
289,196,117509,133351
144,9,117484,133216
1,625,117373,133155
324,4,117325,133107
121,576,117353,132986
324,441,117329,132934
289,49,117335,133005
9,576,117287,132835
484,64,117233,132817
400,484,117240,132777
100,256,117167,132716
144,64,117067,132624
1,784,117103,132523
1225,1156,116946,132429
100,196,116959,132361
25,676,116812,132202
256,144,116828,132022
144,9,116756,131910
4,729,116650,131781
324,1,116631,131620
121,484,116550,131607
144,169,116701,131425
81,64,116477,131285
4,784,116436,131277
361,9,116392,131162
256,625,116385,131670
289,484,116352,131697
256,49,116234,131539
1,729,116235,131430
400,81,116135,131313
400,289,116090,131309
121,576,116111,131130
225,100,116053,131088
0,676,115970,131052
361,144,115898,130892
441,169,115877,130802
36,484,115858,130742
196,121,115828,130618
1,576,115750,130559
324,169,115786,130497
289,36,115688,130412
81,729,115652,130339
225,64,115688,130262
36,676,115575,130210
441,324,115548,130148
225,9,115659,130016
1,676,115553,130108
324,0,115530,130046
196,625,115605,129989
225,361,115545,130047
169,49,115550,130022
16,1089,115609,129821
484,0,115454,129913
81,256,115508,129862
144,441,115609,129792
289,49,115482,129859
1,784,115532,129870
400,49,115555,129758
225,196,115488,129895
81,441,115557,129860
121,169,115624,129773
9,841,115551,129823
484,144,115613,129949
289,144,115644,129950
196,1089,115637,129823
441,81,115615,129961
1,576,115632,129904
289,196,115625,129912
361,36,115572,129955
49,576,115691,129994
64,196,115630,129924
9,625,115613,129948
324,225,115686,129997
196,9,115697,130013
4,841,115698,130060
441,4,115726,130124
256,676,115717,130123
225,289,115736,130171
169,49,115798,130274
9,961,115789,130292
484,25,115814,130358
256,361,115850,130407
81,289,115759,130373
169,100,115778,130380
0,729,115768,130374
400,36,115665,130384
225,196,115679,130246
81,441,115612,130232
196,81,115550,130164
25,1024,115514,130018
484,121,115418,130006
324,100,115350,129925
25,484,115303,129841
256,25,115303,129840
100,961,115284,129813
361,144,115216,129790
196,16,115170,129793
49,784,115185,129803
225,49,115075,129783
100,784,115004,129771
289,196,115063,129695
121,25,114941,129750
0,529,114864,129703
169,16,114945,129631
169,576,114704,129681
121,196,114751,129654
196,16,115426,129527
9,900,115239,129640
484,25,115328,129622
361,676,115426,129567
361,576,115106,129659
225,121,115123,129624
4,576,115171,129573
256,16,115039,129648
225,196,115003,129603
121,676,115042,129577
289,49,114939,129526
16,900,114932,129589
400,81,114890,129576
225,64,114886,129530
25,529,114827,129634
225,16,114847,129611
121,1089,114747,129602
529,169,114813,129607
144,4,114738,129553
0,484,114715,129663
225,49,114638,129666
64,676,114727,129702
400,484,114644,129642
441,0,114631,129632
4,625,114540,129649
169,25,114642,129625
121,484,114492,129526
169,289,114477,129572
169,64,114642,129520
0,784,114407,129474
324,1,114335,129465
225,484,114279,129429
289,576,114274,129401
256,81,114193,129400
0,625,114187,129362
289,36,114165,129331
400,400,114071,129312
169,625,114084,129328
225,100,114022,129242
4,841,113963,129230
441,169,113973,129236
289,81,113928,129152
36,529,113894,129170
169,81,113978,129159
36,900,113860,129160
400,144,113812,129163
169,0,113929,129184
0,625,113718,129226
400,0,113811,129196
144,625,113871,129153
196,169,113698,129247
144,9,113736,129206
4,784,113834,129128
324,1,113715,129244
169,576,113751,129283
256,400,113778,129192
225,49,113640,129213
4,900,113719,129210
441,25,113704,129079
324,576,113615,129152
225,484,113653,129103
196,81,113609,128996
0,625,113554,129145
324,49,113509,129002
225,100,113556,128958
25,441,113540,128890
225,100,113461,128905
0,625,113533,128956
441,256,113564,128855
484,144,113457,128932
49,484,113534,128970
121,100,113552,128943
81,1024,113535,129024
441,225,113616,129022
289,0,113617,129054
0,529,113662,129082
256,25,113737,129140
121,729,113719,129142
256,256,113801,129163
196,25,113787,129259
0,625,113710,129258
256,4,113860,129245
169,729,113894,129336
484,625,113710,129379
256,64,113872,129290
0,729,113886,129313
400,25,113878,129352
324,529,113963,129296
196,484,113935,129377
225,100,113920,129368
0,676,113971,129282
225,9,113917,129303
196,144,113937,129365
64,400,113910,129192
81,144,113851,129173
16,961,113864,129184
529,225,113858,129138
441,144,113805,129068
81,625,113838,129083
256,49,113790,128989
64,784,113737,128961
324,196,113723,128927
256,1,113723,128978
25,729,113720,128965
225,25,113813,128906
9,9,113823,129078
144,1296,113830,129092
529,64,113765,129089
225,196,113901,129073
169,729,113900,129194
289,81,113765,129150
25,1089,113905,129153
625,196,113923,129168
256,49,113914,129187
25,484,113820,129163
225,100,113977,129247
9,676,113952,129215
256,121,113992,129127
169,0,113907,129090
9,729,113967,129138
256,36,113902,129104
49,529,113879,129040
144,196,113928,129052
225,1,113930,129018
16,676,113870,129000
225,4,113948,129050
225,784,113909,129010
529,625,113884,128997
289,36,113999,128996
4,961,113920,129069
441,16,113922,128949
121,169,113988,128904
121,625,113821,128917
289,81,113880,128833
0,676,113894,128657
256,25,113736,128656
169,144,113771,128570
121,729,113741,128470
361,49,113697,128417
25,961,113651,128346
625,169,113669,128244
225,25,113624,128269
25,576,113671,128246
169,121,113722,128180
9,576,113678,128282
324,256,113683,128187
289,1,113656,128083
4,625,113656,128282
289,9,113611,128058
121,729,113665,127984
289,256,113658,127920
225,25,113630,127988
0,676,113693,127953
361,1,113684,127923
256,676,113716,127956
289,400,113840,128009
196,81,113805,127959
0,784,113810,127990
361,16,113848,128055
256,324,113865,128041
121,441,113858,128042
169,121,113889,128122
1,841,113819,128148
484,64,114018,128149
196,81,114009,128192
25,441,113819,128205
196,81,114026,128191
25,841,114039,128203
529,289,114074,128315
441,64,114143,128227
36,625,114115,128248
324,25,114113,128298
64,841,114179,128261
361,256,114125,128244
324,1,114099,128282
4,576,114135,128226
196,49,114110,128176
64,576,114156,128222
256,256,114125,128194
196,16,114177,128204
0,576,114219,128260
196,0,114179,128245
256,729,114190,128265
361,529,114311,128280
225,81,114236,128406
4,576,114246,128324
289,25,114367,128348
324,361,114245,128452
144,484,114318,128410
196,100,114390,128351
1,841,114272,128438
529,144,114297,128440
289,144,114390,128429
100,676,114323,128414
324,16,114400,128606
64,841,114456,128596
256,36,114404,128414
100,4,114495,128739
16,529,114523,128792
169,49,114503,128668
100,900,114461,128871
361,225,114520,128775
169,9,114515,128668
0,529,114414,128830
225,1,114403,128813
225,961,114403,128768
676,625,114368,128790
289,9,114393,128815
1,625,114316,128734
256,0,114322,128722
196,361,114374,128683
100,256,114290,128600
169,64,114240,128559
1,625,114212,128602
196,1,114229,128553
196,256,114202,128520
100,441,114208,128569
196,49,114178,128535
16,729,114150,128505
324,100,114123,128481
361,169,114178,128539
64,625,114105,128431
400,9,114086,128520
100,961,114021,128513
361,81,114081,128449
144,25,114097,128470
49,625,114138,128509
196,49,114170,128487
49,625,114063,128481
324,256,114144,128501
225,0,114100,128496
16,784,114107,128477
441,9,114173,128501
256,529,114092,128461
144,169,114133,128481
144,49,114199,128501
0,625,114133,128430
324,16,114148,128412
324,676,114278,128384
289,441,114122,128420
144,121,114163,128323
1,729,114280,128290
324,25,114111,128308
169,144,114222,128323
