,143766,,
169,36,115541,142939
9,484,115277,142276
196,1,114658,141737
49,4,114309,141216
324,1296,114314,140903
400,16,114132,140956
49,900,114456,141181
576,49,114942,141716
4,16,115853,143095
196,1225,116691,144099
484,0,114942,144423
49,576,117072,144646
484,324,117103,144660
49,16,117210,144664
100,1024,117280,144896
441,1,117843,145557
361,2500,118320,146056
1600,16,119464,148063
361,441,120594,149602
16,841,120963,149971
169,225,121306,147832
144,16,121536,151537
49,49,121527,151395
4,9,121164,150986
676,2116,120797,150442
900,100,120274,149592
196,529,119584,150986
961,961,118782,147369
121,49,118246,146523
2209,4761,117965,145943
1156,64,117782,145724
324,225,117612,145306
9,900,117483,145176
1089,784,117431,145161
625,16,117368,145202
784,1681,117347,145260
841,144,117333,145441
289,1936,117319,145689
1600,576,117352,145933
625,484,117463,146185
9,144,117584,146465
324,289,117639,146703
1,625,117650,146918
289,324,117748,147190
36,1444,117800,147320
2116,961,117621,147403
289,324,117981,147573
2209,3136,117856,147523
361,361,117935,147521
1089,900,117964,147573
16,2116,117856,147628
1225,4,118020,147687
169,961,118043,147798
169,64,118155,147891
36,121,118194,148003
1600,3600,118236,147980
1681,225,118178,147979
1600,6561,118172,147912
3969,400,118071,147771
25,529,118058,147736
100,196,117941,147493
9,529,117877,147439
529,81,117855,147413
1,49,117816,147335
0,64,117806,147423
36,2025,117819,147422
2500,100,117806,147386
196,64,117779,147320
225,961,117781,147365
576,144,117686,147334
289,2601,117676,147270
2704,2025,117820,147283
2601,2025,117662,147288
441,121,117637,147234
1,625,117703,147239
49,1369,117619,147287
2601,1521,117601,147253
324,0,117714,147242
64,81,117552,147269
441,576,117620,147248
225,2304,117729,147255
576,121,117626,147380
121,36,117721,147418
225,289,117738,147280
121,144,117627,147329
841,1849,117689,147304
2025,1296,117637,147194
100,49,117576,147227
169,961,117602,147228
9,1089,117664,147126
1024,100,117567,147281
64,676,117576,147250
900,784,117664,147224
2209,5625,117704,147199
4356,625,117730,147415
100,900,117706,147412
1089,324,117695,147199
144,169,117656,147399
64,900,117625,147286
676,400,117627,147272
400,441,117616,147351
900,1089,117661,147292
25,484,117638,147343
25,2209,117690,147480
2304,1369,117763,147464
196,361,117775,147461
169,400,117789,147532
400,25,117824,147630
16,25,117806,147576
100,625,117822,147628
625,196,117918,147708
576,1681,117862,147609
400,144,117892,147677
81,16,117905,147821
81,169,117897,147819
49,0,117895,147788
361,1089,118004,147858
100,3969,117995,147840
1089,1369,117948,147848
4225,3249,118003,147965
729,1,117939,147890
81,1600,118007,147916
1936,441,117981,148003
121,441,117986,148050
841,729,118067,147997
16,1521,118072,148071
400,625,117986,147987
961,0,118031,147921
144,0,118020,147912
144,196,117961,147809
9,1,117928,147724
361,289,117828,147657
25,64,117815,147626
441,676,117813,147565
676,676,117813,147583
841,1225,117844,147593
900,576,117815,147594
961,1024,117852,147575
225,4,117855,147540
0,36,117790,147609
169,36,117813,147558
441,2116,117811,147480
961,81,117832,147586
1681,2916,117897,147603
2025,169,117853,147567
4,81,117911,147730
121,900,118039,147822
0,1444,117988,147792
1600,729,118015,147839
169,25,117970,147901
400,1849,117982,147902
1600,625,118030,147891
441,64,118083,147946
16,25,118024,147959
